Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
266,"0,005419","0,019175","0,004782","0,010614",6,0,0,0,"4,770994","6,161928","3,528833"
267,"0,012046","0,025634","0,005897","0,007914",6,0,0,0,"2,041578","13,175726","4,639626"
268,"0,005378","0,02703","0,004599","0,00744",6,0,0,0,"7,805824","8,276224","4,317284"
269,"0,005358","0,024015","0,005964","0,010911",6,0,0,0,"5,364418","7,133007","5,720615"
270,"0,005623","0,020362","0,004947","0,010478",6,0,0,0,"2,515793","6,370306","4,589796"
271,"0,005778","0,026185","0,007465","0,010286",5,0,0,0,"2,794981","9,67288","6,150246"
272,"0,005359","0,022171","0,005031","0,009283",5,0,0,0,"2,196074","6,522894","5,275249"
273,"0,005571","0,026175","0,008005","0,011988",5,0,0,0,"2,472639","9,386301","7,009506"
274,"0,005383","0,027226","0,005034","0,008554",5,0,0,0,"2,859354","7,261276","5,943298"
275,"0,005358","0,024798","0,005362","0,009067",4,0,0,0,"2,274275","8,361578","6,229401"
276,"0,008807","0,018479","0,006189","0,007477",4,0,0,0,"2,900124","6,084681","4,239798"
